"","x"
"1","1、“大爷，我现场采访您一下，您这样晨跑锻炼坚持几年了？”“姑娘别挡道！我尿急！ ”2、“请问你是做什么工作的？”“哦。我的工作是杀僵尸。”“嗯？可是这个世界上没有僵尸啊！ ”“你以为它们是怎么没有的？”3、中午去买菜，感觉都不太新鲜了。老板：早上刚到的，都新鲜的。我：这菜看着就蔫蔫的啊？！老板：从早上到现在，它以为没人要自己了，这不垂头丧气么！我。。。4、我问他：你今天怎么没上班儿啊？......"
"2","A和B在饭店吃饭，吃完以后谁都不想结帐，只好用掷骰子猜单双的方法决定。A：“好了，骰子盖在桌子上了！ ”B：“买定离手，你先来。”A：“我买双，你呢？”B：“我买单！ ”A：“去吧。”"
"3","1、成语新释“远交近攻”：孩子做作业的时侯，离的远一点还能交流交流，离的近了，想不攻击都难！2、我：“如果有人给你一千万换你男朋友，你会怎样想？”闺蜜：“我艹，双喜临门啊！ ”3、男：“我养你。”女：“你那点钱怎么养我？” 男：“嗯。。。不保证养活。”女。。。4、“不是说消费降级吗？为什么去欧洲旅游了？”“还是降了，本来想登月的。”5、看到男友手机上有个女生和好用情侣头像，聊天内容也非常暧昧，我质问他：“是不是这个女人绿了我？”......"
"4","2、眼镜盒不是新眼镜的家，是旧眼镜的棺材。3、打呼噜的人能在自己的呼噜声中睡着也太不公平了。4、友谊其实很简单，就是在自己吃到好吃的食物的时候想着对方，然后拍下来发给他。5、“怂B”这个词听着就很低端，建议换成“生活磨平了我的棱角”，听着好像真的战斗过一样。6、古人挺乐观的其实，有点闲工夫都琢磨着怎么长生不老，现代人忙完一天的事静下心来瘫在床上心里只有四个字：不想活了。7、“钱”有一种不那么市侩的说法，我们代称它叫“上进心”、“有肩膀”、“有品味”。8、冬天，一个农民发现一条褐色的蛇冻僵了，于是他把放到自己怀里暖着。......"
"5","1、吃东西容易减肥难，所以要先吃了再说，因为先易后难。2、什么叫缺乏独立思考？就是别人问你晚上吃什么，你说随便。3、随着年龄的增长，你不断升级并解锁超市中的新区域。4、水可以这么喝：茉莉蜜茶喝半瓶加半瓶水，就成了茉莉花茶；再喝再加就成了茉莉清茶；再喝再加，就成了茉莉花茶无糖版；再喝再加，就成了农夫山泉有点甜；再喝再加，纯净水。5、一直以为芝麻是从草莓身上来的，但是黑芝麻怎么来的，这件事困惑了我许多年，如今我看见了火龙果。6、适度自私有益身心健康，过分懂事体贴反而一文不值。具体参考富察皇后。7、一边说着减肥，一边点着夜宵；一边说着早睡，一边看剧熬夜；一边说着省钱，一边打开花呗；一边说着孤独，一边拒绝亲近。。。这就是我们！8、一个人这一方面有缺点，另一方面会很优秀！比如一个瞎子，听觉就会很灵敏！......"
"6","1、下水道很郁闷的问：我想不通！于是它堵了。。。2、谈起以前的事，李公公叹了口气：“岁月如割，往事如阉。”3、今天老板又夸我了，他说：你真牛B，下午两点才来公司。4、清明节期间最忌讳的话就是：“我扫你还是你扫我?”5、谁能拯救中兴？格力，因为它掌握了核芯科技。6、工作嘛，哪有轻松的，其实大家上班都一样累，不同的是，大家挣得都比你多。7、空姐：先生麻烦您把手机调到飞行模式！乘客：半小时前就说即将起飞了，你们应该把飞机调成飞行模式才对吧！8、A：你公司对你价值观影响最深刻的企业文化是？......"
"7","1、一个土豪到深圳玩，打个车说师傅把我送到深圳消费最高最快的地方。师傅一脚油门把土豪送到了深交所。2、有个职员向老板提出涨工资，老板对他说：“我们公司虽小，但人才济济，你看见传达室那个老头了吧，他有个资产上千万的儿子，还在我这干，工资只有900元，刚才那个拖地的保洁大妈，儿子开的是奔驰，她工资也是900元，这位打字员，她家有3套房子，工资也才1200，我给你开1500，不算低了，干得好，可以再涨嘛！ ”过了一个月，职员才知道老板没说假话，传达室那个老头是老板父亲，保洁大妈是她母亲，那个打字员是他老婆。3、去剪刘海，跟理发师说：“给我剪个漂亮点的刘海，你要是剪的不好看，我可不给钱！ ”......"
"8","医学院的外科老师给同学讲解什么是无菌什么是干净，老师说：你把一坨屎放在高压锅里蒸一个刻钟，它就是无菌的了，但是它干净不干净呢?真是服了这个老师，好有才。"
"9","1、也许鸟儿背地里都是小机器人，它们坐在电线上是为了充电。2、“怎样优雅地表达着凉拉肚子了？”“你是无意穿堂风，偏偏孤倨引山洪。”3、人生中遇见的每一样东西，出场顺序真的很重要。比如抹完护手霜之后短时间内是打不开润唇膏的。4、白领们中午四处乱窜找午饭吃，一家家小饭馆都贴着初九以后才开张。所以白领确实是社会底层，就连路边卖早点的都没开始上班。5、希望你想吃什么马上去吃，想做什么马上去做。毕竟你岁数大了，记性不好！6、那些在感情中只求付出不求回报的，往往都能如愿以偿，得不到任何回报。7、听说有个250盗取别人用户账号和视频，自己还报了110，也许这就是360吧。8、看到同龄人有了孩子，我开始担心自己不光是一个社会学上没有意义的人，更是一个生物学上没有意义的人。9、不得不说，中国真的越来越成熟和自信了。和2008年又是限行又是封道相比，这次办奥运一点都不扰民。......"
"10","一个人睡觉时做了一个噩梦,梦见自己坐的火车出轨,马上就要撞上另一列火车,自己也就快要死了.这个时候突然有人把他从睡梦中唤醒.这个人醒过来后发现自己没死,第一句话就是:""谢谢你救了我."""
